#################
#               #
#      S        #
#               #
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#               #
#      A        #
#               #
#################
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#               #
#      A        #
#               #
#################
16 a
#################
#               #
#               #
#               #
#>              #
#<           S  #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#               #
#      A        #
#               #
#################
17 a
#################
#               #
#               #
#               #
# >             #
#>          S   #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
#               #
#      A        #
#               #
#################
18 a
#################
#               #
#               #
#               #
#  >            #
# >        S    #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#               #
#      A        #
#               #
#################
19 a
#################
#               #
#               #
#               #
#   >           #
#  >      S     #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#               #
#      A        #
#               #
#################
20 a
#################
#               #
#               #
#               #
#    >          #
#   >    S      #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#               #
#      A        #
#               #
#################
21 a
#################
#               #
#               #
#               #
#     >         #
#    >  S       #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#               #
#      A        #
#               #
#################
22 a
#################
#               #
#               #
#               #
#      >        #
#     >S        #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#               #
#      A        #
#               #
#################
23 w
#################
#               #
#               #
#               #
#      S>       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#               #
#      A        #
#               #
#################
24 a
#################
#               #
#               #
#               #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#               #
#      A        #
#               #
#################
25 s
#################
#               #
#               #
#               #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#               #
#      A        #
#               #
#################
26 s
#################
#               #
#               #
#               #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#               #
#      A        #
#               #
#################
27 s
#################
#               #
#               #
#               #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#               #
#      A        #
#               #
#################
28 s
#################
#               #
#               #
#               #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#               #
#      A        #
#               #
#################
29 s
#################
#               #
#               #
#               #
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#               #
#      A        #
#               #
#################
30 s
#################
#               #
#               #
#               #
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#               #
#      A        #
#               #
#################
31 s
#################
#               #
#               #
#               #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#               #
#      A        #
#               #
#################
32 s
#################
#               #
#               #
#               #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#               #
#      A        #
#               #
#################
33 s
#################
#               #
#               #
#               #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#               #
#      A        #
#               #
#################
34 s
#################
#               #
#               #
#               #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#               #
#      A        #
#               #
#################
35 s
#################
#               #
#               #
#               #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#               #
#      A        #
#               #
#################
36 s
#################
#               #
#               #
#               #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#               #
#      A        #
#               #
#################
37 s
#################
#               #
#               #
#               #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#               #
#      A        #
#               #
#################
38 s
#################
#               #
#               #
#               #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#               #
#      A        #
#               #
#################
39 s
#################
#               #
#               #
#               #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#               #
#      A        #
#               #
#################
40 s
#################
#               #
#               #
#               #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#               #
#      A        #
#               #
#################
41 s
#################
#               #
#               #
#               #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#               #
#      A        #
#               #
#################
42 s
#################
#               #
#               #
#               #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#               #
#      A        #
#               #
#################
43 s
#################
#               #
#               #
#               #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#               #
#      A        #
#               #
#################
44 s
#################
#               #
#               #
#               #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
#               #
#      A        #
#               #
#################
45 s
#################
#               #
#               #
#               #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#               #
#      A        #
#               #
#################
46 s
#################
#               #
#               #
#               #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#               #
#      A        #
#               #
#################
47 s
#################
#               #
#               #
#               #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
#               #
#      A        #
#               #
#################
48 s
#################
#               #
#               #
#               #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#               #
#      A        #
#               #
#################
49 s
#################
#               #
#               #
#               #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#    >          #
#               #
#      A        #
#               #
#################
50 s
#################
#               #
#               #
#               #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#     >         #
#               #
#      A        #
#               #
#################
51 s
#################
#               #
#               #
#               #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#      >        #
#               #
#      A        #
#               #
#################
52 s
#################
#               #
#               #
#               #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#       >       #
#               #
#      A        #
#               #
#################
53 s
#################
#               #
#               #
#               #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S  >      #
#               #
#      A        #
#               #
#################
54 s
#################
#               #
#               #
#               #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#     S         #
#      A        #
#               #
#################
55 d
#################
#               #
#               #
#               #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#      S        #
#      A        #
#               #
#################
56 s
#################
#               #
#               #
#               #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#               #
#      A        #
#               #
#################
Gewonnen!
